Title,Authors,Publication Link,id
A deterministic model for the sublayer streaks in turbulent boundary layers for application to flow control,Reza Ali,https://pureportal.coventry.ac.uk/en/publications/a-deterministic-model-for-the-sublayer-streaks-in-turbulent-bound,145
Modelling the control of cell proliferation by an anti-cancer agent,Reza Ali,https://pureportal.coventry.ac.uk/en/publications/modelling-the-control-of-cell-proliferation-by-an-anti-cancer-age,146
A novel integrative bioinformatics environment for encoding and interrogating timelapse microscopy images,R. Ali,https://pureportal.coventry.ac.uk/en/publications/a-novel-integrative-bioinformatics-environment-for-encoding-and-i,147
A PK-PD model of cell cycle response to topotecan,Emmanuel Johnson,https://pureportal.coventry.ac.uk/en/publications/a-pk-pd-model-of-cell-cycle-response-to-topotecan,148
Hong Kong New Wave Reflection,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/publications/hong-kong-new-wave-reflection,149
Kinematic control of redundant robots with online handling of variable generalized hard constraints,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/publications/kinematic-control-of-redundant-robots-with-online-handling-of-var,150
Human-robot contactless collaboration with mixed reality interface,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/publications/human-robot-contactless-collaboration-with-mixed-reality-interfac,151
Motion Control of Redundant Robots with Generalised Inequality Constraints,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/publications/motion-control-of-redundant-robots-with-generalised-inequality-co,152
Task Priority Matrix at the acceleration level: Collision avoidance under relaxed constraints,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/publications/task-priority-matrix-at-the-acceleration-level-collision-avoidanc,153
Task Priority Matrix Under Hard Joint Constraints,John Allen,https://pureportal.coventry.ac.uk/en/publications/task-priority-matrix-under-hard-joint-constraints,154
Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,John Allen,https://pureportal.coventry.ac.uk/en/publications/assessing-hemodynamics-from-the-photoplethysmogram-to-gain-insigh,155
"Book Pitch article on Photoplethysmography: technology, signal analysis and applications",John Allen,https://pureportal.coventry.ac.uk/en/publications/book-pitch-article-on-photoplethysmography-technology-signal-anal,156
Ethnic Disparities in Publicly-available Pulse Oximetry Databases,John Allen,https://pureportal.coventry.ac.uk/en/publications/ethnic-disparities-in-publicly-available-pulse-oximetry-databases,157
Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,John Allen,https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n,158
